"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA","wRAA","wRC","playerid","mlbamid"
"1966","Donn Clendenon","PIT","155","629","28","80","98","8",".221",".354",".299",".358",".520",".381","141","-0.7","29.2","-16.1","3.8","171","111","22","10","52","7","142","2","3","1","14","8","7",".381","36.8","103","1002345","112398"
"1987","Dion James","ATL","134","574","10","80","61","10",".160",".340",".312",".397",".472",".381","128","-1.7","18.5","-13.0","2.5","154","101","37","6","70","2","63","2","3","5","8","10","8",".381","26.3","97","1006349","116476"
"2008","Brad Hawpe","COL","138","569","25","69","85","2",".215",".341",".283",".381",".498",".381","122","0.6","16.6","-42.1","-0.7","138","86","24","3","76","6","134","3","2","0","7","2","2",".381","24.7","93","1885","425547"
"1940","Ed Stone","NE","37","152","2","22","20","2",".175","",".262",".388",".437",".381","118","0.2","4.0","-1.6","0.7","33","20","6","5","26","","","","","2","","2","",".381","5.7","24","1016499",""
"2010","Adam Dunn","WSN","158","648","38","85","103","0",".276",".329",".260",".356",".536",".381","136","-4.3","23.5","-14.3","3.0","145","69","36","2","77","10","199","9","4","0","10","0","1",".381","31.0","105","319","276055"
"1927","Bing Miller","SLB","143","553","5","83","75","8",".124",".336",".325",".375",".449",".381","108","-2.4","3.7","-2.4","2.2","160","116","32","7","30","","26","9","","22","","8","7",".381","16.5","87","1008871","119067"
"2011","Adrian Beltre","TEX","124","525","32","82","105","1",".265",".273",".296",".331",".561",".381","135","1.7","23.0","11.8","5.5","144","79","33","0","25","0","53","5","8","0","13","1","1",".381","27.0","86","639","134181"
"1909","Dick Hoblitzel","CIN","142","592","4","59","67","17",".110","",".308",".364",".418",".381","140","-1.0","23.7","-5.4","4.4","159","121","23","11","44","","","2","","29","","17","",".381","28.4","86","1005871","115993"
"1970","Ken Henderson","SFG","148","649","17","104","88","20",".166",".317",".294",".394",".460",".381","130","3.1","27.6","-7.4","4.4","163","108","35","3","87","9","78","5","2","1","14","20","3",".381","31.1","104","1005634","115748"
"1939","Harry Danning","NYG","135","563","16","79","74","4",".165",".318",".313",".359",".479",".381","121","0.3","15.4","7.1","3.9","163","114","28","5","35","","42","2","","6","12","4","",".381","17.8","89","1002978","113043"
"1977","Dusty Baker","LAD","153","604","30","86","86","2",".221",".298",".291",".364",".512",".381","136","-1.6","24.6","-8.0","3.7","155","98","26","1","58","6","89","6","5","2","9","2","6",".381","27.5","98","1000450","110481"
"1984","Leon Durham","CHC","137","548","23","86","96","16",".226",".295",".279",".369",".505",".381","135","0.0","21.8","-6.6","3.5","132","75","30","4","69","11","86","1","5","0","8","16","8",".381","26.7","88","1003592","113658"
"1987","Von Hayes","PHI","158","681","21","84","84","16",".196",".288",".277",".404",".473",".381","131","-0.1","26.1","-11.2","3.8","154","92","36","5","121","12","77","0","4","0","12","16","7",".381","31.1","115","1005531","115646"
"1950","Irv Noren","WAS","138","615","14","80","98","5",".164",".324",".295",".375",".459",".381","112","-0.1","10.1","-0.8","3.0","160","109","27","10","67","","77","2","","4","10","5","2",".381","17.5","94","1009628","119834"
"1920","Ray Chapman","CLE","111","530","3","97","49","13",".120",".327",".303",".380",".423",".381","110","-0.1","7.2","12.9","4.0","132","94","27","8","52","","38","2","","41","","13","9",".381","18.9","80","1002151","112203"
"1975","Richie Zisk","PIT","147","578","20","69","75","0",".185",".332",".290",".374",".474",".381","137","-0.3","24.2","-0.6","4.5","146","96","27","3","68","9","109","2","4","0","12","0","1",".381","25.9","89","1014455","124780"
"1948","Dale Mitchell","CLE","141","656","4","82","56","13",".095",".341",".336",".383",".431",".381","120","-5.7","11.6","0.9","3.5","204","162","30","8","45","","17","2","","1","9","13","18",".381","20.9","100","1009000","119197"
"1973","Amos Otis","KCR","148","651","26","89","93","13",".184",".290",".300",".368",".484",".381","137","-0.6","26.4","-15.1","3.6","175","124","21","4","63","5","47","1","3","1","10","13","9",".381","30.6","102","1009893","120111"
"2023","Kyle Tucker","HOU","120","513","24","69","92","24",".229",".300",".297",".377",".526",".381","146","5.1","33.2","-8.5","4.2","131","78","29","0","59","6","67","2","7","0","10","24","3",".381","26.6","89","18345","663656"
"1962","Felipe Alou","SFG","154","606","25","96","98","10",".198",".320",".316",".356",".513",".381","134","-0.8","24.8","1.4","4.8","177","119","30","3","33","2","66","5","5","2","4","10","7",".381","28.3","99","1000177","110186"
"1941","Joe Gordon","NYY","156","665","24","104","87","10",".190",".285",".276",".358",".466",".381","120","-2.3","15.4","18.2","5.9","162","105","26","7","72","","80","4","","1","16","10","9",".381","25.3","104","1004874","114967"
"1883","George Gore","CHI","92","419","2","105","52","",".138",".342",".334",".377",".472",".381","137","0.0","24.5","3.5","3.9","131","90","30","9","27","","13","","","","","","",".381","32.2","95","1004879","114972"
"1984","Alan Trammell","DET","139","626","14","85","69","19",".155",".333",".314",".382",".468",".381","139","-1.4","27.1","18.8","6.9","174","121","34","5","60","2","63","3","2","6","8","19","13",".381","30.5","100","1013157","123437"
"1902","George Davis","CHW","132","566","3","76","93","31",".103","",".299",".386",".402",".381","122","1.9","19.1","19.9","6.1","145","108","27","7","65","","","4","","12","","31","",".381","24.3","91","1003049","113106"
"1929","George Harper","BSN","136","538","10","65","68","5",".142",".293",".291",".389",".433",".381","108","0.1","6.8","-2.6","2.2","133","93","25","5","69","","27","4","","8","","5","",".381","12.5","87","1005378","115491"
"1928","Joe Judge","WAS","153","646","3","78","93","16",".111",".313",".306",".396",".417",".381","117","0.4","15.5","-3.4","3.6","166","122","31","10","80","","19","1","","23","","16","4",".381","19.9","102","1006644","116786"
"1937","Ben Chapman","- - -","148","643","7","99","69","35",".136",".312",".297",".389",".432",".381","106","0.8","6.9","0.1","3.0","164","115","30","12","83","","42","1","","6","","35","12",".381","20.2","104","1002141","112205"
"2002","Tim Salmon","ANA","138","568","22","84","88","6",".217",".317",".286",".380",".503",".381","135","-0.9","23.6","-9.9","3.3","138","78","37","1","71","3","102","7","7","0","6","6","3",".381","25.7","94","32","121640"
"1915","Burt Shotton","SLB","156","685","1","93","30","43",".077",".317",".283",".409",".360",".381","135","-3.5","23.0","-7.5","4.3","158","128","18","11","118","","62","2","","6","","43","32",".381","29.1","100","1011933","122192"
"2019","Eugenio Suarez","CIN","159","662","49","87","103","3",".301",".312",".271",".358",".572",".381","130","-6.2","20.4","1.7","4.2","156","83","22","2","70","4","189","11","6","0","12","3","2",".381","34.8","118","12552","553993"
"2002","Mike Piazza","NYM","135","541","33","69","98","0",".264",".276",".280",".359",".544",".381","136","-3.9","20.3","-4.0","3.4","134","76","23","2","57","9","82","3","3","0","26","0","3",".381","24.5","89","893","120536"
"1907","Fred Clarke","PIT","148","593","2","97","59","37",".100","",".289",".383",".389",".381","139","2.8","27.0","0.9","5.4","145","112","18","13","68","","","8","","16","","37","",".381","29.0","86","1002280","112352"
"1960","Ernie Banks","CHC","156","678","41","94","117","1",".283",".245",".271",".350",".554",".381","134","-0.8","26.6","18.4","7.0","162","82","32","7","71","28","69","4","6","0","14","1","3",".381","32.7","109","1000512","110533"
"1893","John Ward","NYG","135","636","2","129","77","46",".087",".329",".328",".379",".415",".381","111","3.3","15.4","8.5","4.1","193","155","27","9","47","","5","1","","","","46","",".381","13.7","117","1013615","123921"
"1910","Larry Doyle","NYG","151","670","8","97","69","39",".127",".288",".285",".369",".412",".381","125","2.5","21.6","-7.0","4.3","164","121","21","14","71","","26","5","","19","","39","",".381","28.3","97","1003467","113531"
"2003","Dmitri Young","DET","155","635","29","78","85","2",".240",".339",".297",".372",".537",".381","137","-3.2","25.8","-28.3","1.9","167","97","34","7","58","16","130","11","4","0","16","2","1",".381","28.1","106","505","124693"
"1914","Frank LaPorte","IND","133","566","4","86","107","15",".125",".329",".311",".361",".436",".381","118","1.2","13.4","-3.0","3.2","157","114","27","12","36","","36","4","","21","","15","",".381","23.2","82","1007340","117497"
"1895","Billy Nash","BSN","132","596","10","97","108","18",".128",".286",".289",".383",".417",".381","102","-2.1","0.2","1.1","2.0","147","108","23","6","74","","19","3","","11","","18","",".381","10.5","109","1009456","119661"
"1926","Hurley McNair","KCM","66","272","0","41","29","18",".099","",".297",".401",".397",".381","110","3.0","6.9","-5.8","1.0","69","50","15","4","38","","","2","","9","","18","",".381","7.6","42","1015904",""
"2001","Frank Catalanotto","TEX","133","512","11","77","54","15",".160",".357",".330",".391",".490",".381","129","0.8","19.8","-0.2","3.7","153","106","31","5","39","3","55","8","1","1","5","15","5",".381","23.1","87","1241","112131"
"1939","Morrie Arnovich","PHI","134","560","5","68","67","7",".090",".336",".324",".397",".413",".381","121","0.8","16.2","2.3","3.5","159","127","25","2","58","","28","2","","9","10","7","",".381","17.6","88","1000322","110335"
"1948","Jackie Robinson","BRO","147","646","12","108","85","22",".157",".301",".296",".367",".453",".381","118","3.8","18.2","8.6","4.8","170","112","38","8","57","","37","7","","8","7","22","",".381","20.4","98","1011070","121314"
"1979","Pete Rose","PHI","163","732","4","90","59","20",".099",".342",".331",".418",".430",".381","134","-0.1","29.2","-20.3","3.5","208","159","40","5","95","10","32","2","5","0","18","20","11",".381","32.8","118","1011217","121454"
"1984","Gary Matthews","CHC","147","608","14","101","82","17",".136",".331",".291",".410",".428",".381","135","0.2","24.2","-18.8","2.8","143","106","21","2","103","2","97","3","10","1","10","17","8",".381","29.5","97","1008255","118433"
"1879","Paul Hines","PRO","85","417","2","81","52","",".125",".368",".357",".369",".482",".381","159","0.0","35.2","-0.2","4.5","146","109","25","10","8","","16","","","","","","",".381","35.0","93","1005845","115966"
"1953","Enos Slaughter","STL","143","578","6","64","89","4",".142",".299",".291",".395",".433",".381","117","-0.3","12.8","-11.8","2.0","143","94","34","9","80","","28","5","","1","10","4","4",".381","20.7","90","1012060","122319"
"1956","Stan Lopata","PHI","146","624","32","96","95","5",".267",".265",".267",".353",".535",".381","135","0.5","26.3","-3.0","4.2","143","71","33","7","75","10","93","1","9","4","17","5","2",".381","27.2","99","1007749","117910"
"2009","Mark Reynolds","ARI","155","662","44","98","102","24",".284",".338",".260",".349",".543",".381","127","2.0","24.1","-11.9","3.3","150","75","30","1","76","3","223","5","3","0","8","24","9",".381","28.4","108","7619","448602"
"1884","George Gore","CHI","103","483","5","104","34","",".097",".330",".318",".404",".415",".381","138","0.0","28.9","-0.1","4.2","134","107","18","4","61","","26","","","","","","",".381","38.1","109","1004879","114972"
"1937","Joe Vosmik","SLB","144","655","4","81","93","2",".130",".342",".325",".377",".455",".381","104","-1.6","1.8","-6.2","2.0","193","133","47","9","49","","38","1","","11","","2","3",".381","20.5","106","1013456","123757"
"1994","Kirby Puckett","MIN","108","482","20","79","112","6",".223",".314",".317",".362",".540",".381","124","-0.1","15.3","0.4","3.1","139","84","32","3","28","7","47","7","7","1","11","6","3",".381","19.3","80","1010557","120790"
"1977","Carl Yastrzemski","BOS","150","643","28","99","102","11",".210",".273",".296",".372",".505",".381","128","2.3","23.7","3.5","5.0","165","107","27","3","73","6","40","1","11","0","10","11","1",".381","29.1","104","1014326","124650"
"1901","Fielder Jones","CHW","133","629","2","120","65","38",".054","",".311",".412",".365",".380","125","1.8","24.1","-1.4","4.4","162","141","16","3","84","","","6","","18","","38","",".380","26.2","108","1006555","116685"
"1933","Paul Waner","PIT","154","694","7","101","70","3",".147",".311",".309",".372",".456",".380","135","0.2","28.2","-6.7","4.3","191","130","38","16","60","","20","2","","14","10","3","",".380","27.2","110","1013597","123905"
"1883","John Morrill","BSN","97","419","6","83","68","",".205",".373",".319",".344",".525",".380","145","0.0","29.9","5.0","4.4","129","74","33","16","15","","68","","","","","","",".380","32.1","95","1009214","119393"
"1924","Biz Mackey","HIL","68","287","4","50","42","8",".136","",".330",".362",".465",".380","132","1.8","12.7","1.3","2.1","90","64","19","3","14","","","","","7","","8","",".380","8.5","45","1015810",""
"1972","Bob Watson","HOU","147","616","16","74","86","1",".151",".341",".312",".378",".464",".380","142","0.0","28.2","-23.0","3.2","171","124","27","4","53","5","83","8","5","2","6","1","1",".380","33.6","94","1013677","123988"
"1997","Brady Anderson","BAL","151","696","18","97","73","18",".181",".325",".288",".393",".469",".380","130","-1.5","25.0","-14.8","3.4","170","106","39","7","84","6","105","19","1","2","1","18","12",".380","27.9","114","364","110229"
"1894","Arlie Latham","CIN","129","593","4","129","60","59",".090",".323",".313",".393",".403",".380","93","5.4","-2.1","-1.0","1.6","164","131","23","6","60","","24","9","","","","59","",".380","1.0","110","1007371","117528"
"1975","Don Baylor","BAL","145","598","25","79","76","32",".206",".280",".282",".360",".489",".380","143","-0.1","28.5","-15.2","3.5","148","96","21","6","53","8","64","13","4","4","12","32","17",".380","26.6","92","1000700","110719"
"1949","Johnny Pesky","BOS","148","713","2","111","69","8",".078",".314",".306",".408",".384",".380","108","-0.3","7.0","5.0","3.6","185","149","27","7","100","","19","4","","5","12","8","4",".380","20.6","105","1010219","120450"
"1919","Joe Judge","WAS","135","609","2","83","31","23",".121",".306",".288",".386",".409",".380","126","1.0","19.3","-6.1","3.9","150","103","33","12","81","","35","2","","5","","23","",".380","24.9","88","1006644","116786"
"1990","Andre Dawson","CHC","147","581","27","72","100","16",".225",".308",".310",".358",".535",".380","132","2.2","23.6","-23.0","2.3","164","104","28","5","42","21","65","2","8","0","12","16","2",".380","27.6","93","1003091","113151"
"1970","Billy Grabarkewitz","LAD","156","640","17","92","84","19",".164",".368",".289",".399",".454",".380","135","0.5","28.3","8.2","6.1","153","108","20","8","95","8","149","6","7","3","8","19","9",".380","30.5","103","1004907","115001"
"1919","Steve O'Neill","CLE","125","461","2","46","47","4",".138",".301",".289",".373",".427",".380","120","-1.6","9.1","5.8","3.4","115","71","35","7","48","","21","5","","10","","4","",".380","18.8","66","1009820","120031"
